,Country,Code,LPI_Score,Customs,Infrastructure,International_Shipments,Logistics_Competence,Tracking_Tracing,Timeliness,Year,PPI_Value
1241,Qatar,QAT,3.321408,3.115179,3.227232,2.875,3.25,3.5,3.995446,2012,
1242,Qatar,QAT,3.516657,3.206818,3.439141,3.550252,3.550252,3.469697,3.869697,2014,
1243,Qatar,QAT,3.474205,3.0,3.375,3.75,3.418651,3.561508,3.704365,2018,
1244,Qatar,QAT,3.5,3.1,3.8,3.1,3.9,3.6,3.5,2023,
1245,Republic of Moldova,,,,,,,,,2007,52.0
1246,Republic of Moldova,,,,,,,,,2008,57.2
1247,Republic of Moldova,,,,,,,,,2009,55.5
1248,Republic of Moldova,,,,,,,,,2010,59.6
1249,Republic of Moldova,,,,,,,,,2011,63.7
1250,Republic of Moldova,,,,,,,,,2012,68.7
1251,Republic of Moldova,,,,,,,,,2013,70.6
1252,Republic of Moldova,,,,,,,,,2014,76.6
1253,Republic of Moldova,,,,,,,,,2015,81.5
1254,Republic of Moldova,,,,,,,,,2016,85.2
1255,Republic of Moldova,,,,,,,,,2017,88.0
1256,Republic of Moldova,,,,,,,,,2018,88.3
1257,Republic of Moldova,,,,,,,,,2019,90.0
1258,Republic of Moldova,,,,,,,,,2020,92.3
1259,Republic of Moldova,,,,,,,,,2021,100.0
1260,Republic of Moldova,,,,,,,,,2022,126.5
1261,Republic of Moldova,,,,,,,,,2023,142.4
1262,Republic of Moldova,,,,,,,,,2024,140.1
1263,Republic of Moldova,,,,,,,,,2025,147.4
1264,Romania,ROM,2.907120123125564,2.6,2.73333,3.2,2.85714,2.85714,3.18182,2007,57.1
1265,Romania,,2.907120123125564,2.6,2.73333,3.2,2.85714,2.85714,3.18182,2008,63.4
1266,Romania,,2.907120123125564,2.6,2.73333,3.2,2.85714,2.85714,3.18182,2009,64.6
1267,Romania,ROM,2.841229,2.357143,2.247165,3.237528,2.681973,2.904195,3.453515,2010,67.2
1268,Romania,,2.841229,2.357143,2.247165,3.237528,2.681973,2.904195,3.453515,2011,71.6
1269,Romania,ROM,2.995036,2.65442,2.510172,2.991766,2.827173,3.097778,3.816142,2012,75.1
1270,Romania,,2.995036,2.65442,2.510172,2.991766,2.827173,3.097778,3.816142,2013,77.8
1271,Romania,ROM,3.261155,2.832622,2.773306,3.322581,3.19678,3.390328,3.998976,2014,78.0
1272,Romania,,3.261155,2.832622,2.773306,3.322581,3.19678,3.390328,3.998976,2015,76.6
1273,Romania,,3.261155,2.832622,2.773306,3.322581,3.19678,3.390328,3.998976,2016,74.6
1274,Romania,,3.261155,2.832622,2.773306,3.322581,3.19678,3.390328,3.998976,2017,76.9
1275,Romania,ROM,3.118601,2.580718,2.906903,3.176497,3.073653,3.264727,3.681887,2018,81.0
1276,Romania,,3.118601,2.580718,2.906903,3.176497,3.073653,3.264727,3.681887,2019,85.1
1277,Romania,,3.118601,2.580718,2.906903,3.176497,3.073653,3.264727,3.681887,2020,85.2
1278,Romania,,3.118601,2.580718,2.906903,3.176497,3.073653,3.264727,3.681887,2021,100.0
